 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs118 118 0 0 1 3 1 2 0 5 3 1 27 1.9 15 35 6 2 5 1 10 5 5 200 2 10 20 3 0 4 10 0 0 0 1 
Obs119 119 0 0 0 1 0 0 0 1 2 0 24 3.6 2 3 1 1 4 1 1 2 5 85 5 10 130 2 5 2 10 0 30 6 1 
Obs120 120 1 1 1 2 1 0 0 2 2 0 24 3.6 10 5 5 1 1 1 2 10 5 150 6 8 200 4 0 3 7 5 90 8 1 
Obs121 121 1 1 0 2 1 0 0 2 8 1 23 3.5 3 2 2 1 2 1 5 7 2 70 5 1 100 5 4 7 9 0 20 9 1 
Obs122 122 0 0 0 2 1 0 0 5 5 1 25 3.3 50 50 50 25 7 1 3 5 10 300 5 0 500 8 1 2 10 0 50 5 1 
Obs123 123 0 0 0 3 1 2 0 0 7 1 26 3.1 1 1 1 1 7 0 3 5 8 200 6 10 40 7 0 6 10 0 10 3 1 
Obs124 124 1 1 0 3 1 2 0 6 4 1 25 3.2 4 4 2 2 3 1 1 10 6 60 5 3 75 4 2 5 8 0 40 7 1 
Obs125 125 1 1 0 3 1 0 7 1 2 1 27 3.5 10 6 7 0 4 1 3 6 5 150 5 10 70 1 0 5 6 0 80 3 1 
Obs126 126 0 0 0 2 1 0 6 0 9 1 28 2.8 11 15 5 2 4 1 10 8 0 80 2 7 180 1 0 6 9 0 90 9 1 
Obs127 127 1 1 0 0 1 0 6 0 6 0 26 3.8 4 7 3 1 3 1 3 4 5 70 5 10 60 4 0 5 7 0 30 2 1 
Obs128 128 1 1 0 1 1 5 7 0 6 0 26 3.9 3 5 3 2 4 1 2 3 0 60 5 10 55 3 0 7 7 0 100 10 1 
Obs129 129 0 0 1 2 1 0 1 2 2 0 26 3.5 2 2 2 0 8 1 2 10 8 165 5 7 200 3 0 8 10 0 90 8 1 
Obs130 130 1 1 0 3 1 2 0 8 0 0 22 2.5 6 4 3 3 2 1 4 3 5 90 5 10 45 5 1 4 9 10 80 8 1 
Obs131 131 0 0 0 3 0 3 5 0 8 1 31 3.9 5 15 1 1 3 1 2 5 9 1000 6 5 1000 5 1 9 10 5 90 7 1 
Obs132 132 1 1 0 2 1 0 7 0 7 1 27 4 5 7 3 0 3 1 3 12 5 100 5 9 200 5 2 6 8 0 90 4 1 
Obs133 133 1 1 0 3 1 3 4 3 5 1 29 3.3 0 0 0 0 1 1 4 3 6 50 6 10 17 4 0 1 7 15 0 2 1 
Obs134 134 1 1 0 3 1 1 0 1 0 0 18 2 0 3 10 1 3 1 5 3 5 500 5 10 10 2 0 5 10 25 0 3 1 
